date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:27	1018620/1018620	---MCZ	200	added ('OK')	font/ttf	etag:W/%22f8afc-56c971f078000%22	https://preview.colorlib.com/theme/educrown/assest/fonts/icofont.ttf?v=1.0.0-beta	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/fonts/icofont7858.ttf	(from https://preview.colorlib.com/theme/educrown/assest/css/icons/icofont.css)
10:30:27	629908/629908	---M--	200	added ('OK')	font/woff	etag:%2299c94-56c97201a2880%22	https://preview.colorlib.com/theme/educrown/assest/fonts/icofont.woff?v=1.0.0-beta	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/fonts/icofont7858.woff	(from https://preview.colorlib.com/theme/educrown/assest/css/icons/icofont.css)
10:30:28	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20May%202021%2005:00:26%20GMT	https://preview.colorlib.com/theme/educrown/assest/css/img/owl.video.play.png	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/img/owl.video.play.png	(from https://preview.colorlib.com/theme/educrown/assest/css/plugins/owl.carousel.css)
10:30:28	440/440	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20May%202021%2005:00:26%20GMT	https://preview.colorlib.com/theme/educrown/assest/css/fonts/glyphicons-halflings-regular.eot	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/fonts/glyphicons-halflings-regular.eot	(from https://preview.colorlib.com/theme/educrown/assest/css/plugins/bootstrap.min.css)
10:30:29	4197863/4197863	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22400de7-56c97227c8280%22	https://preview.colorlib.com/theme/educrown/assest/fonts/icofont.svg?v=1.0.0-beta	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/fonts/icofont7858.svg	(from https://preview.colorlib.com/theme/educrown/assest/css/icons/icofont.css)
10:30:30	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20May%202021%2005:00:28%20GMT	https://preview.colorlib.com/theme/educrown/assest/css/fonts/glyphicons-halflings-regular.eot?	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/fonts/glyphicons-halflings-regulard41d.eot	(from https://preview.colorlib.com/theme/educrown/assest/css/plugins/bootstrap.min.css)
10:30:31	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20May%202021%2005:00:29%20GMT	https://preview.colorlib.com/theme/educrown/assest/css/fonts/glyphicons-halflings-regular.woff2	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/fonts/glyphicons-halflings-regular.woff2	(from https://preview.colorlib.com/theme/educrown/assest/css/plugins/bootstrap.min.css)
10:30:31	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20May%202021%2005:00:30%20GMT	https://preview.colorlib.com/theme/educrown/assest/css/fonts/glyphicons-halflings-regular.woff	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/fonts/glyphicons-halflings-regular.woff	(from https://preview.colorlib.com/theme/educrown/assest/css/plugins/bootstrap.min.css)
10:30:32	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20May%202021%2005:00:30%20GMT	https://preview.colorlib.com/theme/educrown/assest/css/fonts/glyphicons-halflings-regular.ttf	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/fonts/glyphicons-halflings-regular.ttf	(from https://preview.colorlib.com/theme/educrown/assest/css/plugins/bootstrap.min.css)
10:30:32	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20May%202021%2005:00:30%20GMT	https://preview.colorlib.com/theme/educrown/assest/css/fonts/glyphicons-halflings-regular.svg	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/fonts/glyphicons-halflings-regular.svg	(from https://preview.colorlib.com/theme/educrown/assest/css/plugins/bootstrap.min.css)
10:30:32	440/440	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20May%202021%2005:00:31%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/screenshot/screenshot-mobile-mockup.png	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/screenshot/screenshot-mobile-mockup.png	(from https://preview.colorlib.com/theme/educrown/assest/css/core/screenshot.css)
